variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold
source_id,id,,,,,,
date,visitdate,,,,,%Y-%m-%d,
birth_year,birth0,,,,,,
date_age,visitdate,,,,,%Y-%m-%d,
age,I_age_1,,,,,,
sex,sex,,,1.0;2.0;-,male;female;-,,
education_years,,,,,,,
education_category,,,,,low;high,,
education_category_3,education,,,1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0,low;low;medium;medium;medium;medium;high;high;high,,
education_category_verhage,,,,,1;2;3;4;5;6;7,,
date_diagnosis,,,,,,,
normal_cognition_diagnosis,,,,,yes;no,,
date_cdr,,,,,,,
cdr_total,,,,,,,
cdr_sum_of_boxes,,,,,,,
mort_date,ddate,,,,,,
live_date,,,,,,,
mort,status,,,2.0;1.0,true;false,,
date_vitals,,,,,,,
sbp,sys,,,,,,
dbp,dia,,,,,,,,,,
height,lengte,,,,,,
weight,v_weight,,,,,,,,,,
date_comorbidities,,,,,,,
hypertension,hyper,,,1.0;0.0,yes;no,,SBP >= 90 or DPB >= 140
hypercholesterolemia,,,,,yes;no,,
drugs_hypertension,,,,1.0;0.0,yes;no,,,,,,
drugs_hypercholesterolemia,medchol,,,1.0;0.0,yes;no,,,,,,
dm_1,,,,,yes;no,,
dm_2,,,,,yes;no,,
myocardial_infarction,hinfresp,,,1.0;2.0,yes;no,,
glucose_cutoff,,,,,,,
hdl,HDL,,,,,,
ldl,LDL,,,,,,
crp,,,,,,,
date_habits,,,,,,,
alcohol,alcohol1,,,True;False,yes;no,,,,,1.0
smoking_behavior,smk3cat,,,1.0;2.0;3.0,current;past;never,,
smoker,smk3cat,,,1.0;2.0;3.0,yes;no;no,,
apoe_date,,,,,,,,,,,
apoe_carrier,APOE4,,,1.0;2.0;0.0,yes;yes;no,,,,,,
apoe_genotype,APOE,,,E2/E2;E2/E3;E3/E3;E3/E4;E2/E4;E4/E4,2/2;2/3;3/3;3/4;2/4;4/4,,,,,,
date_npe,,,,,,,
attention_test_tmt_a_time,,,,,,,
attention_test_tmt_a_errors,,,,,,,
attention_test_stroop_1,,,,,,,
attention_test_stroop_2,,,,,,,
attention_test_sdst,,,,,,,
priority_memory_im_ravlt,,,,,,,
priority_memory_im_cerad,,,,,,,
priority_memory_dr_recall_10_word_list,,,,,,,
priority_executive_tmt_b_time,,,,,,,
priority_executive_tmt_b_errors,,,,,,,
priority_executive_stroop_3,,,,,,,
priority_executive_cst_a,,,,,,,
priority_executive_cst_b,,,,,,,
priority_executive_cst_c,,,,,,,
priority_language_animal_fluency,,,,,,,
priority_language_category_fluency_1,,,,,,,
priority_language_letter_fluency_1,,,,,,,
priority_language_any_fluency_2,,,,,,,
priority_language_bnt_30,,,,,,,
priority_language_bnt_60,,,,,,,
priority_language_any_picture_naming_test,,,,,,,
p_tau,,,,,,,
amyloid_b_42,,,,,,,
amyloid_b_40,,,,,,,
gfap,,,,,,,
nfl,,,,,,,
e_selectin,,,,,,,
saa,,,,,,,
vcam,,,,,,,
dm_1,diab,,,1.0;-,yes;no,,,,,,
dm_2,diab,,,2.0;-,yes;no,,,,,,
dm,diab,,,1.0;2.0;-,yes;yes;no,,,,,,
no_dm_1,diab,,,1.0;-,yes;no,,,,,,
no_dm_2,diab,,,2.0;-,yes;no,,,,,,
no_dm,diab,,,1.0;2.0;-,yes;yes;no,,,,,,
