variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold,limit
source_id,Record Id,,,,,,,,,,
date,DATE_ASSESS,,,,,%d-%m-%Y,,,,,
birth_year,,,,,,,,,,,
date_age,DATE_ASSESS,,,,,%d-%m-%Y,,,,,
age,AGE_ASSESS,,,,,,,,,,
sex,GEN_SUB,,,0;1,male;female;-,,,,,,
education_years,EDU_YEARS,,,,,,,,,,
education_category,VERHAGE,,,1;2;3;4;5;6;7,low;low;high;high;high;high;high,,,,,,
education_category_3,,,,,low;medium;high,,,,,,
education_category_verhage,VERHAGE,,,1;2;3;4;5;6;7,1;2;3;4;5;6;7,,,,,,
date_diagnosis,,,,,,,,,,,
normal_cognition_diagnosis,FINAL_DIAGNOSIS,,,0;1;2,yes;no;no,,,,,,
scd_diagnosis,,,,,yes;no,,,,,,
mci_diagnosis,FINAL_DIAGNOSIS,,,1;0;2,yes;no;no,,,,,,
dementia_diagnosis,FINAL_DIAGNOSIS,,,2;1;0,yes;no;no,,,,,,
no_normal_cognition_diagnosis,FINAL_DIAGNOSIS,,,0;1;2,yes;no;no,,,,,,
no_scd_diagnosis,,,,,yes;no,,,,,,
no_mci_diagnosis,FINAL_DIAGNOSIS,,,1;0;2,yes;no;no,,,,,,
no_dementia_diagnosis,FINAL_DIAGNOSIS,,,2;1;0,yes;no;no,,,,,,
alzheimers_dementia,,,,,yes;no,,,,,,
lewy_body_dementia,,,,,yes;no,,,,,,
vascular_dementia,,,,,yes;no,,,,,,
frontotemporal_dementia,,,,,yes;no,,,,,,
parkinsons_dementia,,,,,yes;no,,,,,,
semantic_dementia,,,,,yes;no,,,,,,
corticobasal_syndrome,,,,,yes;no,,,,,,
psp,,,,,yes;no,,,,,,
pnfa,,,,,yes;no,,,,,,
cjd,,,,,yes;no,,,,,,
no_alzheimers_dementia,,,,,yes;no,,,,,,
no_lewy_body_dementia,,,,,yes;no,,,,,,
no_vascular_dementia,,,,,yes;no,,,,,,
no_frontotemporal_dementia,,,,,yes;no,,,,,,
no_parkinsons_dementia,,,,,yes;no,,,,,,
