variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold,limit
source_id,IOP2_ID,,,,,,,,,,
date,visitdate_IOP2,,,,,%Y-%m-%d,,,,,
birth_year,birth_year,,,,,,,,,,
date_age,visitdate_IOP3,,,,,%Y-%m-%d,,,,,
age,Age,,,,,,,,,,
sex,sex,,,male;female,male;female,,,,,,
date_metabolomics,visitdate_IOP2,,,,,%Y-%m-%d,,,,,
date_mri,date_mri,,,,,%Y-%m-%d,,,,,
brain_age,brain_age,,,,,,,,,,
metabo_age,metabo_age,,,,,,,,,,
date_blood,date_blood,,,,,%Y-%m-%d,,,,,
bmi,BMI,,,,,,,,,,
education_category,education_category,,,low;high,low;high,,,,,,
dm,Diabetes_Mellitus,,,1;0,yes;no,,,,,,
no_dm,Diabetes_Mellitus,,,1;0,yes;no,,,,,,
education_category_3,education_category_3,,,0;1;2,low;medium;high,,,,,,
depression,Depression,,,1;0,yes;no,,,,,,
no_depression,Depression,,,1;0,yes;no,,,,,,
hypertension,Hypertension,,,1;0,yes;no,,,,,,
drugs_hypertension,Antihypertensive_drugs,,,1;0,yes;no,,,,,,
hdl,HDL,,,,,,,,,,
ldl,LDL,,,,,,,,,,
drugs_hypercholesterolemia,Hypercholesterolemia_drugs,,,1;0,yes;no,,,,,,
stroke,Stoke,,,1;0,yes;no,,,,,,
no_stroke,Stoke,,,1;0,yes;no,,,,,,
myocardial_infarction,Myocardial_Infarction,,,1;0,yes;no,,,,,,
no_myocardial_infarction,Myocardial_Infarction,,,1;0,yes;no,,,,,,
gfap,GFAP,,,,,,,,,,
nfl,NFlight,,,,,,,,,,
e_selectin,Eselectin,,,,,,,,,,
saa,SAA,,,,,,,,,,
vcam,sVCAM1,,,,,,,,,,
icam,sICAM1,,,,,,,,,,
il6,IL6,,,,,,,,,,
il8,IL8,,,,,,,,,,
il_1b,IL1b,,,,,,,,,,
tnfalpha,TNFα,,,,,,,,,,
crp,CRP,,,,,,,,,,
attention_test_stroop_1_time,StroopTime1,,,,,,,,,,
priority_executive_stroop_3_time,StroopTime3,,,,,,,,,,
priority_memory_im_pwlt,PWLT_Immediate,,,,,,,,,,
priority_memory_de_pwlt,PWLT_Delayed,,,,,,,,,,
