variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold,limit
source_id,RandomID,,,,,,,,,,
date,VISIT1_DATE,,,,,%Y-%m-%d,,,,,
birth_year,Year_of_birth,,,,,,,,,,
date_age,VISIT1_DATE,,,,,%Y-%m-%d,,,,,
age,Age,,,,,,,,,,
sex,SEX,,,1.0;2.0;-,male;female;-,,,,,,
education_years,,,,,,,,,,,
education_category,Cogeduc,,,1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0,low;low;high;high;high;high;high;high;low,,,,,,
education_category_3,N_Education_3cat,,,1.0;2.0;3.0,low;medium;high,,,,,,
education_category_verhage,Cogeduc,,,1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0,1;2;3;5;5;6;6;7;1,,,,,,
date_diagnosis,,,,,,,,,,,
normal_cognition_diagnosis,,,,,yes;no,,,,,,
scd_diagnosis,,,,,yes;no,,,,,,
mci_diagnosis,,,,,yes;no,,,,,,
dementia_diagnosis,,,,,yes;no,,,,,,
no_normal_cognition_diagnosis,,,,,yes;no,,,,,,
no_scd_diagnosis,,,,,yes;no,,,,,,
no_mci_diagnosis,,,,,yes;no,,,,,,
no_dementia_diagnosis,,,,,yes;no,,,,,,
alzheimers_dementia,,,,,yes;no,,,,,,
lewy_body_dementia,,,,,yes;no,,,,,,
vascular_dementia,,,,,yes;no,,,,,,
frontotemporal_dementia,,,,,yes;no,,,,,,
parkinsons_dementia,,,,,yes;no,,,,,,
semantic_dementia,,,,,yes;no,,,,,,
corticobasal_syndrome,,,,,yes;no,,,,,,
psp,,,,,yes;no,,,,,,
pnfa,,,,,yes;no,,,,,,
cjd,,,,,yes;no,,,,,,
no_alzheimers_dementia,,,,,yes;no,,,,,,
no_lewy_body_dementia,,,,,yes;no,,,,,,
no_vascular_dementia,,,,,yes;no,,,,,,
no_frontotemporal_dementia,,,,,yes;no,,,,,,
no_parkinsons_dementia,,,,,yes;no,,,,,,
no_semantic_dementia,,,,,yes;no,,,,,,
no_corticobasal_syndrome,,,,,yes;no,,,,,,
no_psp,,,,,yes;no,,,,,,
no_pnfa,,,,,yes;no,,,,,,
no_cjd,,,,,yes;no,,,,,,
date_cdr,,,,,,,,,,,
cdr_total,,,,,,,,,,,
cdr_sum_of_boxes,,,,,,,,,,,
subjective_memory_complaints,,,,,yes;no,,,,,,
mci_petersen,,,,,0;1;2;3;4;5,,,,,,
mci_jessen,,,,,0;1;2;3;4;5,,,,,,
mci_no_adl_scd,,,,,0;1;2;3,,,,,,
mci_no_adl_memory,,,,,0;1;2;3,,,,,,
amnestic_mci_no_adl_scd,,,,,0;1;2;3,,,,,,
amnestic_mci_no_adl_memory,,,,,0;1;2;3,,,,,,
non_amnestic_mci_no_adl_memory,,,,,0;1;2;3,,,,,,
subjective_decline_jessen,,,,,yes;no,,,,,,
dementia_cognitive_domains,,,,,yes;no,,,,,,
mort_date,,,,,,,,,,,
live_date,,,,,,,,,,,
mort,,,,,true;false,,,,,,
date_vitals,VISIT1_DATE,,,,,%Y-%m-%d,,,,,
sbp,OSBP,,,,,,,,,,
dbp,ODBP,,,,,,,,,,
bmi,bmi,BMI,,,,,,,,,
weight,Weight,,,,,,,,,,
height,Height,,,,,,,,,,
waist,waist,,,,,,,,,,
date_comorbidities,VISIT1_DATE,,,,,%Y-%m-%d,,,,,
hypertension,N_HT,,,1.0;0.0,yes;no,,OSBP >=140 OR ODBP >=90
hypercholesterolemia,,,,,,,,,,,
dm_1,N_GTS_WHO,,,4.0;-,yes;no,,,,,,
dm_2,N_DIABETES_2b,,,1.0;0.0,yes;no,,,,,,
dm,N_GTS_WHO,N_DIABETES_2b,4.0;1.0,4.0;1.0;-,yes;yes;no,,,,,,
myocardial_infarction,AMI_rose,,,1.0;0.0,yes;no,,,,,,
cardiovascular_disease,N_CVD,,,1.0;0.0,yes;no,,,,,,
heart_failure,,,,,yes;no,,,,,,
stroke,CVA_Rose,,,1.0;0.0,yes;no,,,,,,
no_dm_1,N_GTS_WHO,,,4.0;-,yes;no,,,,,,
no_dm_2,N_DIABETES_2b,,,1.0;0.0,yes;no,,,,,,
no_dm,N_GTS_WHO,N_DIABETES_2b,4.0;1.0,4.0;1.0;-,yes;yes;no,,,,,,
no_myocardial_infarction,AMI_rose,,,1.0;0.0,yes;no,,,,,,
no_heart_failure,,,,,yes;no,,,,,,
no_stroke,CVA_Rose,,,1.0;0.0,yes;no,,,,,,
drugs_hypertension,med_HT,,,1.0;0.0,yes;no,,,,,,
drugs_hypercholesterolemia,med_LP,,,1.0;0.0,yes;no,,,,,,
drugs_diabetes,med_DM,,,1.0;0.0,yes;no,,,,,,
date_blood,VISIT1_DATE,,,,,%Y-%m-%d,,,,,
glucose_fasted,Glucose_t0_FP,,,,,,,,,,
glucose_nonfasted,Glucose_t120,,,,,,120
glucose_abnormal,,,,,yes;no,,,,,,
no_glucose_abnormal,,,,,yes;no,,,,,,
glucose_cutoff,,,,,,,,,,,
hdl,HDL,,,,,,,,,,
ldl,LDL,,,,,,,,,,
hdl_ratio,N_Chol_ratio,,,,,,,,,,
crp,CRP_2016F,,,,,,,,,,
date_habits,VISIT1_DATE,,,,,%Y-%m-%d,,,,,
alcohol,N_ALCOHOL_CAT,,,0.0;1.0;2.0,no;yes;yes,,,,,,
smoking_behavior,smoking_3cat,,,2.0;1.0;0.0,current;past;never,,,,,,
smoker,smoking_3cat,,,2.0;1.0;0.0,yes;no;no,,,,,,
physical_activity,TOTALPA,,,,,,,,,,
apoe_date,,,,,,,,,,,
apoe_carrier,,,,,yes;no,,,,,,
apoe_genotype,,,,,2/2;2/3;3/3;3/4;2/4;4/4,,,,,,
date_lp,,,,,,,,,,,
