variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold,limit
source_id,,,,,,,,,,,
date,visit1_date,,,,,%Y-%m-%d,,,,,
birth_year,,,,,,,,,,,
date_age,visit1_date,,,,,%Y-%m-%d,,,,,
age,age,,,,,,,,,,
sex,sex,,,1.0;2.0;-,male;female;-,,,,,,
education_years,,,,,,,,,,,
education_category,,,,1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0,low;low;high;high;high;high;high;high;low,,,,,,
education_category_3,n_education_3cat,,,1.0;2.0;3.0,low;medium;high,,,,,,
education_category_verhage,,,,1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0,1;2;3;5;5;6;6;7;1,,,,,,
date_diagnosis,,,,,,,,,,,
normal_cognition_diagnosis,,,,,yes;no,,,,,,
scd_diagnosis,,,,,yes;no,,,,,,
mci_diagnosis,,,,,yes;no,,,,,,
dementia_diagnosis,,,,,yes;no,,,,,,
no_normal_cognition_diagnosis,,,,,yes;no,,,,,,
no_scd_diagnosis,,,,,yes;no,,,,,,
no_mci_diagnosis,,,,,yes;no,,,,,,
no_dementia_diagnosis,,,,,yes;no,,,,,,
alzheimers_dementia,,,,,yes;no,,,,,,
lewy_body_dementia,,,,,yes;no,,,,,,
vascular_dementia,,,,,yes;no,,,,,,
frontotemporal_dementia,,,,,yes;no,,,,,,
parkinsons_dementia,,,,,yes;no,,,,,,
semantic_dementia,,,,,yes;no,,,,,,
corticobasal_syndrome,,,,,yes;no,,,,,,
psp,,,,,yes;no,,,,,,
pnfa,,,,,yes;no,,,,,,
cjd,,,,,yes;no,,,,,,
no_alzheimers_dementia,,,,,yes;no,,,,,,
no_lewy_body_dementia,,,,,yes;no,,,,,,
no_vascular_dementia,,,,,yes;no,,,,,,
no_frontotemporal_dementia,,,,,yes;no,,,,,,
no_parkinsons_dementia,,,,,yes;no,,,,,,
no_semantic_dementia,,,,,yes;no,,,,,,
no_corticobasal_syndrome,,,,,yes;no,,,,,,
no_psp,,,,,yes;no,,,,,,
no_pnfa,,,,,yes;no,,,,,,
no_cjd,,,,,yes;no,,,,,,
date_cdr,,,,,,,,,,,
cdr_total,,,,,,,,,,,
cdr_sum_of_boxes,,,,,,,,,,,
subjective_memory_complaints,,,,,yes;no,,,,,,
mci_petersen,,,,,0;1;2;3;4;5,,,,,,
mci_jessen,,,,,0;1;2;3;4;5,,,,,,
mci_no_adl_scd,,,,,0;1;2;3,,,,,,
mci_no_adl_memory,,,,,0;1;2;3,,,,,,
amnestic_mci_no_adl_scd,,,,,0;1;2;3,,,,,,
amnestic_mci_no_adl_memory,,,,,0;1;2;3,,,,,,
non_amnestic_mci_no_adl_memory,,,,,0;1;2;3,,,,,,
subjective_decline_jessen,,,,,yes;no,,,,,,
dementia_cognitive_domains,,,,,yes;no,,,,,,
mort_date,,,,,,,,,,,
live_date,,,,,,,,,,,
mort,,,,,true;false,,,,,,
date_vitals,visit1_date,,,,,%Y-%m-%d,,,,,
sbp,osbp,,,,,,,,,,
dbp,odbp,,,,,,,,,,
bmi,bmi,BMI,,,,,,,,,
weight,weight,,,,,,,,,,
height,height,,,,,,,,,,
waist,waist,,,,,,,,,,
date_comorbidities,visit1_date,,,,,%Y-%m-%d,,,,,
hypertension,n_ht,,,1.0;0.0,yes;no,,OSBP >=140 OR ODBP >=90
hypercholesterolemia,,,,,,,,,,,
dm_1,n_gts_who,,,4.0;-,yes;no,,,,,,
dm_2,n_diabetes_2b,,,1.0;0.0,yes;no,,,,,,
dm,n_gts_who,,,5.0;4.0;3.0;-,yes;yes;yes;no,,,,,,
myocardial_infarction,,,,1.0;0.0,yes;no,,,,,,
cardiovascular_disease,n_cvd,,,1.0;0.0,yes;no,,,,,,
heart_failure,,,,,yes;no,,,,,,
stroke,cva_rose,,,1.0;0.0,yes;no,,,,,,
no_dm_1,n_gts_who,,,4.0;-,yes;no,,,,,,
no_dm_2,n_diabetes_2b,,,1.0;0.0,yes;no,,,,,,
no_dm,n_gts_who,,,5.0;4.0;3.0;-,yes;yes;yes;no,,,,,,
