variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold
source_id,studienr,,,,,,,,,,
date,ageT0,smsdate;dateMRI15T,,,,%d-%m-%Y,,,,,
birth_year,,,,,,,,,,,
date_age,gebdatum,,,,,,,,,,
age,,,,,,,0
sex,sex,,,0;1;-,male;female;-,,,,,,
education_years,,,,,,,,,,,
education_category,opl_niv,education;S2opl,,,low;high,,,,,,
education_category_3,opl_niv,education;S2opl,,,low;medium;high,,,,,,
education_category_verhage,,,,,1;2;3;4;5;6;7,,,,,,
date_diagnosis,,,,,,,,,,,
normal_cognition_diagnosis,,,,,yes;no,,,,,,
scd_diagnosis,,,,,yes;no,,,,,,
mci_diagnosis,,,,,yes;no,,,,,,
dementia_diagnosis,,,,,yes;no,,,,,,
no_normal_cognition_diagnosis,,,,,yes;no,,,,,,
no_scd_diagnosis,,,,,yes;no,,,,,,
no_mci_diagnosis,,,,,yes;no,,,,,,
no_dementia_diagnosis,,,,,yes;no,,,,,,
alzheimers_dementia,,,,,yes;no,,,,,,
lewy_body_dementia,,,,,yes;no,,,,,,
vascular_dementia,,,,,yes;no,,,,,,
frontotemporal_dementia,,,,,yes;no,,,,,,
parkinsons_dementia,,,,,yes;no,,,,,,
semantic_dementia,,,,,yes;no,,,,,,
corticobasal_syndrome,,,,,yes;no,,,,,,
psp,,,,,yes;no,,,,,,
pnfa,,,,,yes;no,,,,,,
cjd,,,,,yes;no,,,,,,
no_alzheimers_dementia,,,,,yes;no,,,,,,
no_lewy_body_dementia,,,,,yes;no,,,,,,
no_vascular_dementia,,,,,yes;no,,,,,,
no_frontotemporal_dementia,,,,,yes;no,,,,,,
no_parkinsons_dementia,,,,,yes;no,,,,,,
no_semantic_dementia,,,,,yes;no,,,,,,
no_corticobasal_syndrome,,,,,yes;no,,,,,,
no_psp,,,,,yes;no,,,,,,
no_pnfa,,,,,yes;no,,,,,,
no_cjd,,,,,yes;no,,,,,,
date_cdr,,,,,,,,,,,
cdr_total,,,,,,,,,,,
cdr_sum_of_boxes,,,,,,,,,,,
mort_date,edood_d,,,,,%d-%m-%Y,,,,,
live_date,,,,,,,,,,,
mort,edood_n,,,0;-,true;_,,,,,,
date_vitals,incdatum,smsdate;S2scr_dt;M_1B,,,,%d-%m-%Y,,,,,
sbp,BP_sys,SMbdsys;S2bdsy,,,,,,,,,
dbp,BP_dia,Smbddia;S2bddia,,,,,,,,,
bmi,bm_indx,SMbmi_index;S2bm_indx,,,,,,,,,
weight,gewicht,SMgewicht;S2gewicht;M_6;,,,,,,,,,
height,lengte,SMlengte;S2lengte;M_5,,,,,,,100,,
date_comorbidities,incdatum,smsdate;S2scr_dt,,,,%d-%m-%Y,,,,,
hypertension,hyptns_n,SMhyptns_n;S2vz_hpT,,1;0;yes;no,yes;no;yes;no,,,,,,
hypercholesterolemia,vz_hyplip,SMvz_hyplip;S2HpLp_v,,1;0,yes;no,,,,,,
dm_1,vz_t1d,S2vz_t1d,,1;0;-,yes;no;_,,,,,,
dm_2,vz_t2d,S2vz_t2d,,1;0;-,yes;no;_,,,,,,
dm,vz_t1d,vz_t2d;SMvz_diab,1,1;0;-,yes;no;_,,,,,,
myocardial_infarction,diagnsco,,,6;-,yes;_,,,,,,
heart_failure,,,,,yes;no,,,,,,
stroke,vz_kop,SMvz_kop;S2vz_kop,,1;0,yes;no,,,,,,
no_dm_1,vz_t1d,S2vz_t1d,,1;0;-,yes;no;_,,,,,,
no_dm_2,vz_t2d,S2vz_t2d,,1;0;-,yes;no;_,,,,,,
no_dm,vz_t1d,S2vz_t1d;vz_t2d;S2vz_t2d;SMvz_diab,1,1;0;-,yes;no;_,,,,,,
no_myocardial_infarction,diagnsco,,,6;-,yes;_,,,,,,
no_heart_failure,,,,,yes;no,,,,,,
no_stroke,vz_kop,SMvz_kop;S2vz_kop,,1;0,yes;no,,,,,,
drugs_hypertension,mht_all,mht01;mht02;mht02a;mht02b;mht02c;mht02d;mht03;mht04;mht05;mht06;mht07;mht12;mht33;mht41;SMhyptns_b;S2mht01;S2mht02;S2mht02a;S2mht02b;S2mht02c;S2mht02d;S2mht03;S2mht04;S2mht05;S2mht06;S2mht07;S2mht12;S2mht33;S2mht41,1,1;0;-,yes;no;_,,,,,,
drugs_hypercholesterolemia,mliphoop,mli01;mli02;mli03;mli04;lipmid;statine;SMhyplip_b;S2mlipho;S2mli01;S2mli02;S2mli03;S2mli04,1,1;0;-,yes;no;_,,,,,,
drugs_diabetes,mgl01,mgl02,1,1;0;-,yes;no;_,,,,,,
date_blood,incdatum,smsdate;S2scr_dt,,,,%d-%m-%Y,,,,,
glucose_fasted,labgluc,SMlabgluc;S2gluc,,,,,,,,
glucose_nonfasted,,,,,,,,,,,
glucose_abnormal,,,,,yes;no,,,,,,
no_glucose_abnormal,,,,,yes;no,,,,,,
glucose_cutoff,,,,,,,,,,,
hdl,labhdl,SMlabhdl;S2hdl,,,,,,,,,
ldl,ldlchol,SMlabhdl;S2hdl,,,,,,,,,
crp,labcrp,B_11;S2hsCRP,,,,,,,,,
date_habits,incdatum,smsdate;S2scr_dt,,,,%d-%m-%Y,,,,,
alcohol,alc,smsalc;S2alchol,,2;1;0,yes;yes;no,,,,,,
smoking_behavior,roken3,smoking;S2roken,,2;1;0,current;past;never,,,,,,
smoker,roken3,smoking;S2roken,,2;1;0,yes;no;no,,,,,,
apoe_date,incdatum,smsdate;S2scr_dt,,,,%d-%m-%Y,,,,,
apoe_carrier,APOE_e4,APOE_e4e4,2;1,2;1;0,yes;yes;no,,,,,,
apoe_genotype,APOE,,,4;3;1;2;6;5,2/2;2/3;3/3;3/4;2/4;4/4,,,,,,
date_lp,,,,,,,,,,,
csf_assay_amyloid,,,,,luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun,,,,,,
csf_ab_total_1_42,,,,,,,,,,,
csf_ab_total_ratio_42_40,,,,,,,,,,,
csf_ab_total_1_38,,,,,,,,,,,
amy_abnormal,,,,,yes;no,,,,,,
no_amy_abnormal,,,,,yes;no,,,,,,
amy_cutoff,,,,,,,,,,,
csf_assay_tau,,,,,luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun,,,,,,
csf_ttau,,,,,,,,,,,
ttau_abnormal,,,,,yes;no,,,,,,
no_ttau_abnormal,,,,,yes;no,,,,,,
ttau_cutoff,,,,,,,,,,,
csf_ptau,,,,,,,,,,,
ptau_abnormal,,,,,yes;no,,,,,,
no_ptau_abnormal,,,,,yes;no,,,,,,
ptau_cutoff,,,,,,,,,,,
date_pet,,,,,,,,,,,
pet_tracer,,,,,PiB;Florbetapir;AV-45,,,,,,
pet_assesment,,,,,quantitative;visual,,,,,,
pet_level_suvr,,,,,,,,,,,
pet_level_bpnd,,,,,,,,,,,
pet_abnormal,,,,,yes;no,,,,,,
no_pet_abnormal,,,,,yes;no,,,,,,
date_depression,smsdate,dateMRI15T,,,,%d-%m-%Y,,,,,
depression_rating_mini,,,,,,,,,,,
depression_rating_gds_15,,,,,,,,,,,
depression_rating_gds,,,,,,,,,,,
depression_rating_ces_d,,,,,,,,,,,
depression,MDD2,DSM-IV,,1;0,yes;no,,DSM-IV diagnosis,,,,
no_depression,MDD2,DSM-IV,,1;0,yes;no,,DSM-IV diagnosis,,,,
depression_cutoff,,,,,,,,,,,
date_anxiety,smsdate,dateMRI15T,,,,%d-%m-%Y,,,,,
anxiety_rating_mini,,,,,,,,,,,
anxiety_rating_beck_anxiety,SMS_BAI,BAI,,,,,,,,,
anxiety_rating_state_trait,,,,,,,,,,,
anxiety_rating_hospital_scale,,,,,,,,,,,
anxiety,,,,,yes;no,,,,,,
no_anxiety,,,,,yes;no,,,,,,
anxiety_cutoff,,,,,,,,,,,
