variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold
source_id,studienr,,,,,,,,,,
date,ageT0,,,,,%d-%m-%Y,,,,,
birth_year,,,,,,,,,,,
date_age,gebdatum,,,,,,,,,,
age,,,,,,,0
sex,sex,,,0;1;-,male;female;-,,,,,,
education_years,,,,,,,,,,,
education_category,opl_niv,,,1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0,low;high,,,,,,
education_category_3,opl_niv,,,1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0,low;medium;high,,,,,,
education_category_verhage,,,,,1;2;3;4;5;6;7,,,,,,
date_diagnosis,,,,,,,,,,,
normal_cognition_diagnosis,,,,,yes;no,,,,,,
scd_diagnosis,,,,,yes;no,,,,,,
mci_diagnosis,,,,,yes;no,,,,,,
dementia_diagnosis,,,,,yes;no,,,,,,
no_normal_cognition_diagnosis,,,,,yes;no,,,,,,
no_scd_diagnosis,,,,,yes;no,,,,,,
no_mci_diagnosis,,,,,yes;no,,,,,,
no_dementia_diagnosis,,,,,yes;no,,,,,,
alzheimers_dementia,,,,,yes;no,,,,,,
lewy_body_dementia,,,,,yes;no,,,,,,
vascular_dementia,,,,,yes;no,,,,,,
frontotemporal_dementia,,,,,yes;no,,,,,,
parkinsons_dementia,,,,,yes;no,,,,,,
semantic_dementia,,,,,yes;no,,,,,,
corticobasal_syndrome,,,,,yes;no,,,,,,
psp,,,,,yes;no,,,,,,
pnfa,,,,,yes;no,,,,,,
cjd,,,,,yes;no,,,,,,
no_alzheimers_dementia,,,,,yes;no,,,,,,
no_lewy_body_dementia,,,,,yes;no,,,,,,
no_vascular_dementia,,,,,yes;no,,,,,,
no_frontotemporal_dementia,,,,,yes;no,,,,,,
no_parkinsons_dementia,,,,,yes;no,,,,,,
no_semantic_dementia,,,,,yes;no,,,,,,
no_corticobasal_syndrome,,,,,yes;no,,,,,,
no_psp,,,,,yes;no,,,,,,
no_pnfa,,,,,yes;no,,,,,,
no_cjd,,,,,yes;no,,,,,,
date_cdr,,,,,,,,,,,
cdr_total,,,,,,,,,,,
cdr_sum_of_boxes,,,,,,,,,,,
mort_date,edood_d,,,,,%d-%m-%Y,,,,,
live_date,,,,,,,,,,,
mort,edood_n,,,0;-,true;_,,,,,,
date_vitals,incdatum,,,,,%d-%m-%Y,,,,,
sbp,BP_sys,,,,,,,,,,
dbp,BP_dia,,,,,,,,,,
bmi,bm_indx,,,,,,,,,,
weight,gewicht,;,,,,,,,,,
height,lengte,,,,,,,,100,,
date_comorbidities,incdatum,,,,,%d-%m-%Y,,,,,
hypertension,hyptns_n,,,1;0;yes;no,yes;no;yes;no,,,,,,
hypercholesterolemia,vz_hyplip,,,1;0,yes;no,,,,,,
dm_1,vz_t1d,,,1;0;-,yes;no;_,,,,,,
dm_2,vz_t2d,,,1;0;-,yes;no;_,,,,,,
dm,vz_t1d,,1,1;0;-,yes;no;_,,,,,,
myocardial_infarction,diagnsco,,,6;-,yes;_,,,,,,
heart_failure,,,,,yes;no,,,,,,
stroke,vz_kop,,,1;0,yes;no,,,,,,
no_dm_1,vz_t1d,,,1;0;-,yes;no;_,,,,,,
no_dm_2,vz_t2d,,,1;0;-,yes;no;_,,,,,,
no_dm,vz_t1d,,1,1;0;-,yes;no;_,,,,,,
no_myocardial_infarction,diagnsco,,,6;-,yes;_,,,,,,
no_heart_failure,,,,,yes;no,,,,,,
no_stroke,vz_kop,,,1;0,yes;no,,,,,,
drugs_hypertension,mht_all,mht01;mht02;mht02a;mht02b;mht02c;mht02d;mht03;mht04;mht05;mht06;mht07;mht12;mht33;mht41;,1,1;0;-,yes;no;_,,,,,,
drugs_hypercholesterolemia,mliphoop,mli01;mli02;mli03;mli04;lipmid;statine,1,1;0;-,yes;no;_,,,,,,
drugs_diabetes,mgl01,mgl02,1,1;0;-,yes;no;_,,,,,,
date_blood,incdatum,,,,,%d-%m-%Y,,,,,
glucose_fasted,labgluc,,,,,,,,,
glucose_nonfasted,,,,,,,,,,,
glucose_abnormal,,,,,yes;no,,,,,,
no_glucose_abnormal,,,,,yes;no,,,,,,
glucose_cutoff,,,,,,,,,,,
hdl,labhdl,,,,,,,,,,
ldl,ldlchol,,,,,,,,,,
crp,labcrp,,,,,,,,,,
date_habits,incdatum,,,,,%d-%m-%Y,,,,,
alcohol,alc,,,2;1;0,yes;no;no,,,,,,
smoking_behavior,roken3,,,2;1;0,current;past;never,,,,,,
smoker,roken3,,,2;1;0,yes;no;no,,,,,,
apoe_date,incdatum,,,,,%d-%m-%Y,,,,,
apoe_carrier,APOE_e4,APOE_e4e4,2;1,2;1;0,yes;yes;no,,,,,,
apoe_genotype,APOE,,,4;3;1;2;6;5,2/2;2/3;3/3;3/4;2/4;4/4,,,,,,
date_lp,,,,,,,,,,,
csf_assay_amyloid,,,,,luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun,,,,,,
csf_ab_total_1_42,,,,,,,,,,,
csf_ab_total_ratio_42_40,,,,,,,,,,,
csf_ab_total_1_38,,,,,,,,,,,
amy_abnormal,,,,,yes;no,,,,,,
no_amy_abnormal,,,,,yes;no,,,,,,
amy_cutoff,,,,,,,,,,,
csf_assay_tau,,,,,luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun,,,,,,
csf_ttau,,,,,,,,,,,
ttau_abnormal,,,,,yes;no,,,,,,
no_ttau_abnormal,,,,,yes;no,,,,,,
ttau_cutoff,,,,,,,,,,,
csf_ptau,,,,,,,,,,,
ptau_abnormal,,,,,yes;no,,,,,,
no_ptau_abnormal,,,,,yes;no,,,,,,
ptau_cutoff,,,,,,,,,,,
date_pet,,,,,,,,,,,
pet_tracer,,,,,PiB;Florbetapir;AV-45,,,,,,
pet_assesment,,,,,quantitative;visual,,,,,,
pet_level_suvr,,,,,,,,,,,
pet_level_bpnd,,,,,,,,,,,
pet_abnormal,,,,,yes;no,,,,,,
no_pet_abnormal,,,,,yes;no,,,,,,
date_depression,smsdate,dateMRI15T,,,,%d-%m-%Y,,,,,
depression_rating_mini,,,,,,,,,,,
depression_rating_gds_15,,,,,,,,,,,
depression_rating_gds,,,,,,,,,,,
depression_rating_ces_d,,,,,,,,,,,
depression_rating_phq_9,m_PHQ9,PHQ9_tot_fup2,,,,,,,,,
depression,MDD2,DSM-IV,,1;0,yes;no,,DSM-IV diagnosis based on CIDI interview (4157256),,,,
no_depression,MDD2,DSM-IV,,1;0,yes;no,,DSM-IV diagnosis based on CIDI interview (4157256),,,,
depression_cutoff,,,,,,,,,,,
date_anxiety,smsdate,dateMRI15T,,,,%d-%m-%Y,,,,,
anxiety_rating_mini,,,,,,,,,,,
anxiety_rating_beck_anxiety,SMS_BAI,BAI,,,,,,,,,
anxiety_rating_state_trait,,,,,,,,,,,
anxiety_rating_hospital_scale,,,,,,,,,,,
anxiety,,,,,yes;no,,,,,,
no_anxiety,,,,,yes;no,,,,,,
anxiety_cutoff,,,,,,,,,,,
mhi_5_questionnaire,,,,,,,,,,,
lidas_questionnaire,,,,,,,,,,,
npi_questionnaire_frq,,,,,,,,,,,
npi_questionnaire_sev,,,,,,,,,,,
date_mmse,smsdate,dateMRI15T,,,,%d-%m-%Y,,,,,
mmse_total,smsmmse,mmse_total,,,,,,,,,
date_npe,smsdate,dateMRI15T,,,,%d-%m-%Y,,,,,
date_attention,smsdate,dateMRI15T,,,,%d-%m-%Y,,,,,
date_memory,testdate,smsdate;dateMRI15T,,,,%d-%m-%Y,,,,,
date_executive,testdate,smsdate;dateMRI15T,,,,%d-%m-%Y,,,,,
date_language,testdate,smsdate;dateMRI15T,,,,%d-%m-%Y,,,,,
attention_test_tmt_a_time,,,,,,,,,,,
attention_test_tmt_a_errors,,,,,,,,,,,
attention_test_stroop_1,,,,,,,,,,,
attention_test_stroop_2,,,,,,,,,,,
attention_test_stroop_1_adj,,,,,,,,,,,
attention_test_stroop_2_adj,,,,,,,,,,,
attention_test_sdst,smsdigit,DSST,,,,,2 minutes,,,,
attention_test_ldst,,,,,,,,,,,
priority_memory_im_ravlt,,,,,,,,,,,
priority_memory_im_cerad,,,,,,,,,,,
priority_memory_im_gb,,,,,,,,,,,
priority_memory_im_sct,,,,,,,,,,,
priority_memory_im_lm,,,,,,,,,,,
priority_memory_im_hopkins,,,,,,,,,,,
priority_memory_im_vat_a,,,,,,,,,,,
priority_memory_im_vat_b,,,,,,,,,,,
priority_memory_im_srb,,,,,,,,,,,
priority_memory_im_rrf,,,,,,,,,,,
priority_memory_im_mmse,,,,,,,,,,,
priority_memory_im_adas,,,,,,,,,,,
priority_memory_im_10_word_list,,,,,,,,,,,
priority_memory_im_recall_10_word_list,,,,,,,,,,,
