variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold,limit
source_id,studienr,,,,,,,,,,
date,dateMRI15T,,,,,%Y-%m-%d,,,,,
birth_year,,,,,,,,,,,
date_age,gebdatum,,,,,,,,,,
age,,,,,,,0
sex,sex,,,0.0;1.0;-,male;female;-,,,,,,
education_years,,,,,,,,,,,
education_category,S2opl,,,1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0,low;high;high;high;high;high;high;high,,,,,,
education_category_3,S2opl,,,1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0,low;medium;medium;medium;medium;medium;high;high,,,,,,
education_category_verhage,,,,,1;2;3;4;5;6;7,,,,,,
date_diagnosis,,,,,,,,,,,
normal_cognition_diagnosis,,,,,yes;no,,,,,,
scd_diagnosis,,,,,yes;no,,,,,,
mci_diagnosis,,,,,yes;no,,,,,,
dementia_diagnosis,,,,,yes;no,,,,,,
no_normal_cognition_diagnosis,,,,,yes;no,,,,,,
no_scd_diagnosis,,,,,yes;no,,,,,,
no_mci_diagnosis,,,,,yes;no,,,,,,
no_dementia_diagnosis,,,,,yes;no,,,,,,
alzheimers_dementia,,,,,yes;no,,,,,,
lewy_body_dementia,,,,,yes;no,,,,,,
vascular_dementia,,,,,yes;no,,,,,,
frontotemporal_dementia,,,,,yes;no,,,,,,
parkinsons_dementia,,,,,yes;no,,,,,,
semantic_dementia,,,,,yes;no,,,,,,
corticobasal_syndrome,,,,,yes;no,,,,,,
psp,,,,,yes;no,,,,,,
pnfa,,,,,yes;no,,,,,,
cjd,,,,,yes;no,,,,,,
no_alzheimers_dementia,,,,,yes;no,,,,,,
no_lewy_body_dementia,,,,,yes;no,,,,,,
no_vascular_dementia,,,,,yes;no,,,,,,
no_frontotemporal_dementia,,,,,yes;no,,,,,,
no_parkinsons_dementia,,,,,yes;no,,,,,,
no_semantic_dementia,,,,,yes;no,,,,,,
no_corticobasal_syndrome,,,,,yes;no,,,,,,
no_psp,,,,,yes;no,,,,,,
no_pnfa,,,,,yes;no,,,,,,
no_cjd,,,,,yes;no,,,,,,
date_cdr,,,,,,,,,,,
cdr_total,,,,,,,,,,,
cdr_sum_of_boxes,,,,,,,,,,,
subjective_memory_complaints,subjmemt2,,,1.0;0.0,yes;no,,,,,,
mci_petersen,MCI_t2,,,0.0;1.0;2.0;3.0;4.0;5.0,0;1;2;3;4;5,,,,,,
mci_jessen,Jessen_t2,,,0.0;1.0;2.0;3.0;4.0;5.0,0;1;2;3;4;5,,,,,,
mci_no_adl_scd,,,,,0;1;2;3,,,,,,
mci_no_adl_memory,,,,,0;1;2;3,,,,,,
amnestic_mci_no_adl_scd,,,,,0;1;2;3,,,,,,
amnestic_mci_no_adl_memory,,,,,0;1;2;3,,,,,,
non_amnestic_mci_no_adl_memory,,,,,0;1;2;3,,,,,,
subjective_decline_jessen,,,,,yes;no,,,,,,
dementia_cognitive_domains,,,,,yes;no,,,,,,
mort_date,edood_d,,,,,%Y-%m-%d,,,,,
live_date,,,,,,,,,,,
mort,edood_n,,,0.0;-,true;_,,,,,,
date_vitals,S2scr_dt,;M_1B,,,,%Y-%m-%d,,,,,
sbp,BP_sys,SMbdsys;S2bdsy,,,,,,,,,998
dbp,BP_dia,Smbddia;S2bddia,,,,,,,,,998
bmi,bm_indx,SMbmi_index;S2bm_indx,,,,,,,,,98
weight,gewicht,SMgewicht;S2gewicht;M_6;,,,,,,,,,200
height,lengte,SMlengte;S2lengte;M_5,,,,,,,100,,8
waist,S2tai_gm,,,,,,,,,,300
date_comorbidities,S2scr_dt,,,,,%Y-%m-%d,,,,,
hypertension,hyptns_n,SMhyptns_n;S2vz_hpT,,1.0;0.0;yes;no,yes;no;yes;no,,,,,,
hypercholesterolemia,vz_hyplip,SMvz_hyplip;S2HpLp_v,,1.0;0.0,yes;no,,,,,,
dm_1,vz_t1d,S2vz_t1d,,1.0;0.0;-,yes;no;_,,,,,,
dm_2,vz_t2d,S2vz_t2d,,1.0;0.0;-,yes;no;_,,,,,,
dm,vz_t1d,vz_t2d;SMvz_diab,1,1.0;0.0;-,yes;no;_,,,,,,
