variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold,limit
source_id,studienr,,,,,,,,,,
date,smsdate,,,,,%Y-%m-%d,,,,,
birth_year,,,,,,,,,,,
date_age,gebdatum,,,,,,,,,,
age,,,,,,,0
sex,sex,,,0.0;1.0;-,male;female;-,,,,,,
education_years,,,,,,,,,,,
education_category,education,,,1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0,low;high;high;high;high;high;high;high,,,,,,
education_category_3,education,,,1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0,low;medium;medium;medium;medium;medium;high;high,,,,,,
education_category_verhage,,,,,1;2;3;4;5;6;7,,,,,,
date_diagnosis,,,,,,,,,,,
normal_cognition_diagnosis,,,,,yes;no,,,,,,
scd_diagnosis,,,,,yes;no,,,,,,
mci_diagnosis,,,,,yes;no,,,,,,
dementia_diagnosis,,,,,yes;no,,,,,,
no_normal_cognition_diagnosis,,,,,yes;no,,,,,,
no_scd_diagnosis,,,,,yes;no,,,,,,
no_mci_diagnosis,,,,,yes;no,,,,,,
no_dementia_diagnosis,,,,,yes;no,,,,,,
alzheimers_dementia,,,,,yes;no,,,,,,
lewy_body_dementia,,,,,yes;no,,,,,,
vascular_dementia,,,,,yes;no,,,,,,
frontotemporal_dementia,,,,,yes;no,,,,,,
parkinsons_dementia,,,,,yes;no,,,,,,
semantic_dementia,,,,,yes;no,,,,,,
corticobasal_syndrome,,,,,yes;no,,,,,,
psp,,,,,yes;no,,,,,,
pnfa,,,,,yes;no,,,,,,
cjd,,,,,yes;no,,,,,,
no_alzheimers_dementia,,,,,yes;no,,,,,,
no_lewy_body_dementia,,,,,yes;no,,,,,,
no_vascular_dementia,,,,,yes;no,,,,,,
no_frontotemporal_dementia,,,,,yes;no,,,,,,
no_parkinsons_dementia,,,,,yes;no,,,,,,
no_semantic_dementia,,,,,yes;no,,,,,,
no_corticobasal_syndrome,,,,,yes;no,,,,,,
no_psp,,,,,yes;no,,,,,,
no_pnfa,,,,,yes;no,,,,,,
no_cjd,,,,,yes;no,,,,,,
date_cdr,,,,,,,,,,,
cdr_total,,,,,,,,,,,
cdr_sum_of_boxes,,,,,,,,,,,
mort_date,edood_d,,,,,%Y-%m-%d,,,,,
live_date,,,,,,,,,,,
mort,edood_n,,,0.0;-,true;_,,,,,,
date_vitals,smsdate,,,,,%Y-%m-%d,,,,,
sbp,SMbdsys,,,,,,,,,,998
dbp,Smbddia,,,,,,,,,,998
bmi,SMbmi_index,,,,,,,,,,98
weight,SMgewicht,;,,,,,,,,,200
height,SMlengte,,,,,,,,100,,8
waist,,,,,,,,,,,
date_comorbidities,smsdate,,,,,%Y-%m-%d,,,,,
hypertension,SMhyptns_n,,,1.0;0.0;yes;no,yes;no;yes;no,,,,,,
hypercholesterolemia,SMvz_hyplip,,,1.0;0.0,yes;no,,,,,,
dm_1,,,,1.0;0.0;-,yes;no;_,,,,,,
dm_2,,,,1.0;0.0;-,yes;no;_,,,,,,
dm,SMvz_diab,,1,1.0;0.0;-,yes;no;_,,,,,,
myocardial_infarction,diagnsco,,,6.0;-,yes;_,,,,,,
cardiovascular_disease,,,,,yes;no,,,,,,
heart_failure,,,,,yes;no,,,,,,
stroke,SMvz_kop,,,1.0;0.0,yes;no,,,,,,
no_dm_1,,,,1.0;0.0;-,yes;no;_,,,,,,
no_dm_2,,,,1.0;0.0;-,yes;no;_,,,,,,
no_dm,SMvz_diab,,1,1.0;0.0;-,yes;no;_,,,,,,
no_myocardial_infarction,diagnsco,,,6.0;-,yes;_,,,,,,
no_heart_failure,,,,,yes;no,,,,,,
no_stroke,SMvz_kop,,,1.0;0.0,yes;no,,,,,,
drugs_hypertension,SMhyptns_b,,1,1.0;0.0;-,yes;no;_,,,,,,
drugs_hypercholesterolemia,SMhyplip_b,,1,1.0;0.0;-,yes;no;_,,,,,,
drugs_diabetes,SMhypgly_b,,1,1.0;0.0;-,yes;no;_,,,,,,
date_blood,smsdate,,,,,%Y-%m-%d,,,,,
glucose_fasted,SMlabgluc,,,,,,,,,,30
glucose_nonfasted,,,,,,,,,,,
glucose_abnormal,,,,,yes;no,,,,,,
no_glucose_abnormal,,,,,yes;no,,,,,,
glucose_cutoff,,,,,,,,,,,
